TimestampMs,State,TargetX,TargetY,TargetZ,SetpointA,SetpointB,SetpointC,CountA,CountB,CountC,ErrA,ErrB,ErrC,Status
--- NEW TEST SESSION STARTED ---
--- NEW TEST SESSION STARTED ---
53888,3,0.00,20.00,0.00,-228,141,141,-250,143,153,22,-2,-12,RUNNING
53910,3,0.00,20.00,0.00,-228,141,141,-244,143,154,16,-2,-13,RUNNING
53932,3,0.00,20.00,0.00,-228,141,141,-248,142,154,20,-1,-13,RUNNING
53954,3,0.00,20.00,0.00,-228,141,141,-247,143,154,19,-2,-13,RUNNING
53976,3,0.00,20.00,0.00,-228,141,141,-247,143,154,19,-2,-13,RUNNING
53998,3,0.00,20.00,0.00,-228,141,141,-247,143,154,19,-2,-13,RUNNING
54020,3,0.00,20.00,0.00,-228,141,141,-247,143,154,19,-2,-13,RUNNING
54044,3,0.00,20.00,0.00,-228,141,141,-242,143,154,14,-2,-13,RUNNING
54066,3,0.00,20.00,0.00,-228,141,141,-232,146,154,4,-5,-13,RUNNING
54088,3,0.00,20.00,0.00,-228,141,141,-230,156,154,2,-15,-13,RUNNING
54110,3,0.00,20.00,0.00,-228,141,141,-230,166,154,2,-25,-13,RUNNING
54132,3,0.00,20.00,0.00,-228,141,141,-231,167,153,3,-26,-12,RUNNING
54154,3,0.00,20.00,0.00,-228,141,141,-231,166,144,3,-25,-3,RUNNING
54176,3,0.00,20.00,0.00,-228,141,141,-230,166,136,2,-25,5,RUNNING
54200,3,0.00,20.00,0.00,-228,141,141,-237,166,132,9,-25,9,RUNNING
54222,3,0.00,20.00,0.00,-228,141,141,-243,166,133,15,-25,8,RUNNING
54244,3,0.00,20.00,0.00,-228,141,141,-250,166,133,22,-25,8,RUNNING
54266,3,0.00,20.00,0.00,-228,141,141,-249,166,133,21,-25,8,RUNNING
54288,3,0.00,20.00,0.00,-228,141,141,-249,166,133,21,-25,8,RUNNING
54310,3,0.00,20.00,0.00,-228,141,141,-249,166,133,21,-25,8,RUNNING
54332,3,0.00,20.00,0.00,-228,141,141,-248,157,133,20,-16,8,RUNNING
54354,3,0.00,20.00,0.00,-228,141,141,-249,146,133,21,-5,8,RUNNING
54378,3,0.00,20.00,0.00,-228,141,141,-242,138,143,14,3,-2,RUNNING
54400,3,0.00,20.00,0.00,-228,141,141,-234,137,155,6,4,-14,RUNNING
54422,3,0.00,20.00,0.00,-228,141,141,-226,137,162,-2,4,-21,RUNNING
54444,3,0.00,20.00,0.00,-228,141,141,-227,137,163,-1,4,-22,RUNNING
