TimestampMs,State,TargetX,TargetY,TargetZ,SetpointA,SetpointB,SetpointC,CountA,CountB,CountC,ErrA,ErrB,ErrC,Status
--- NEW TEST SESSION STARTED ---
21162,1,0.00,0.00,0.00,0,0,0,14506,14013,14009,-14506,-14013,-14009,RUNNING
21184,1,0.00,0.00,0.00,0,0,0,14586,14083,14065,-14586,-14083,-14065,RUNNING
21206,1,0.00,0.00,0.00,0,0,0,14656,14165,14126,-14656,-14165,-14126,RUNNING
21228,1,0.00,0.00,0.00,0,0,0,14738,14233,14186,-14738,-14233,-14186,RUNNING
21250,1,0.00,0.00,0.00,0,0,0,14825,14303,14246,-14825,-14303,-14246,RUNNING
21272,1,0.00,0.00,0.00,0,0,0,14899,14365,14315,-14899,-14365,-14315,RUNNING
21294,1,0.00,0.00,0.00,0,0,0,14977,14425,14379,-14977,-14425,-14379,RUNNING
21318,1,0.00,0.00,0.00,0,0,0,15057,14487,14451,-15057,-14487,-14451,RUNNING
21340,1,0.00,0.00,0.00,0,0,0,15129,14550,14525,-15129,-14550,-14525,RUNNING
21362,1,0.00,0.00,0.00,0,0,0,15200,14614,14599,-15200,-14614,-14599,RUNNING
21384,1,0.00,0.00,0.00,0,0,0,15268,14674,14677,-15268,-14674,-14677,RUNNING
21406,1,0.00,0.00,0.00,0,0,0,15332,14739,14762,-15332,-14739,-14762,RUNNING
21428,1,0.00,0.00,0.00,0,0,0,15406,14819,14850,-15406,-14819,-14850,RUNNING
21452,1,0.00,0.00,0.00,0,0,0,15487,14897,14932,-15487,-14897,-14932,RUNNING
21474,1,0.00,0.00,0.00,0,0,0,15553,14967,15005,-15553,-14967,-15005,RUNNING
21496,1,0.00,0.00,0.00,0,0,0,15627,15041,15074,-15627,-15041,-15074,RUNNING
21518,1,0.00,0.00,0.00,0,0,0,15704,15114,15137,-15704,-15114,-15137,RUNNING
21540,1,0.00,0.00,0.00,0,0,0,15777,15184,15206,-15777,-15184,-15206,RUNNING
21562,1,0.00,0.00,0.00,0,0,0,15850,15251,15267,-15850,-15251,-15267,RUNNING
21584,1,0.00,0.00,0.00,0,0,0,15916,15313,15327,-15916,-15313,-15327,RUNNING
21608,1,0.00,0.00,0.00,0,0,0,15985,15376,15395,-15985,-15376,-15395,RUNNING
21630,1,0.00,0.00,0.00,0,0,0,16054,15440,15466,-16054,-15440,-15466,RUNNING
21652,1,0.00,0.00,0.00,0,0,0,16118,15503,15528,-16118,-15503,-15528,RUNNING
21674,1,0.00,0.00,0.00,0,0,0,16173,15558,15593,-16173,-15558,-15593,RUNNING
21696,1,0.00,0.00,0.00,0,0,0,16234,15620,15665,-16234,-15620,-15665,RUNNING
21718,1,0.00,0.00,0.00,0,0,0,16299,15690,15734,-16299,-15690,-15734,RUNNING
21740,1,0.00,0.00,0.00,0,0,0,16359,15757,15801,-16359,-15757,-15801,RUNNING
21764,1,0.00,0.00,0.00,0,0,0,16430,15835,15878,-16430,-15835,-15878,RUNNING
21786,1,0.00,0.00,0.00,0,0,0,16502,15907,15940,-16502,-15907,-15940,RUNNING
21808,1,0.00,0.00,0.00,0,0,0,16576,15988,16002,-16576,-15988,-16002,RUNNING
21830,1,0.00,0.00,0.00,0,0,0,16657,16066,16066,-16657,-16066,-16066,RUNNING
21852,1,0.00,0.00,0.00,0,0,0,16734,16142,16124,-16734,-16142,-16124,RUNNING
21874,1,0.00,0.00,0.00,0,0,0,16806,16208,16178,-16806,-16208,-16178,RUNNING
21896,1,0.00,0.00,0.00,0,0,0,16889,16279,16237,-16889,-16279,-16237,RUNNING
21920,1,0.00,0.00,0.00,0,0,0,16979,16357,16304,-16979,-16357,-16304,RUNNING
21942,1,0.00,0.00,0.00,0,0,0,17048,16424,16359,-17048,-16424,-16359,RUNNING
21964,1,0.00,0.00,0.00,0,0,0,17121,16486,16421,-17121,-16486,-16421,RUNNING
21986,1,0.00,0.00,0.00,0,0,0,17202,16555,16488,-17202,-16555,-16488,RUNNING
22008,1,0.00,0.00,0.00,0,0,0,17278,16619,16556,-17278,-16619,-16556,RUNNING
22030,1,0.00,0.00,0.00,0,0,0,17349,16686,16628,-17349,-16686,-16628,RUNNING
22055,1,0.00,0.00,0.00,0,0,0,17434,16767,16714,-17434,-16767,-16714,RUNNING
22077,1,0.00,0.00,0.00,0,0,0,17509,16832,16793,-17509,-16832,-16793,RUNNING
22099,1,0.00,0.00,0.00,0,0,0,17586,16910,16874,-17586,-16910,-16874,RUNNING
22121,1,0.00,0.00,0.00,0,0,0,17664,16992,16959,-17664,-16992,-16959,RUNNING
22143,1,0.00,0.00,0.00,0,0,0,17733,17063,17031,-17733,-17063,-17031,RUNNING
22165,1,0.00,0.00,0.00,0,0,0,17808,17139,17102,-17808,-17139,-17102,RUNNING
22187,1,0.00,0.00,0.00,0,0,0,17888,17218,17169,-17888,-17218,-17169,RUNNING
22211,1,0.00,0.00,0.00,0,0,0,17961,17297,17245,-17961,-17297,-17245,RUNNING
22233,1,0.00,0.00,0.00,0,0,0,18026,17368,17308,-18026,-17368,-17308,RUNNING
22255,1,0.00,0.00,0.00,0,0,0,18093,17435,17374,-18093,-17435,-17374,RUNNING
22277,1,0.00,0.00,0.00,0,0,0,18155,17498,17440,-18155,-17498,-17440,RUNNING
22299,1,0.00,0.00,0.00,0,0,0,18220,17557,17507,-18220,-17557,-17507,RUNNING
22321,1,0.00,0.00,0.00,0,0,0,18281,17625,17581,-18281,-17625,-17581,RUNNING
22343,1,0.00,0.00,0.00,0,0,0,18341,17682,17652,-18341,-17682,-17652,RUNNING
22367,1,0.00,0.00,0.00,0,0,0,18415,17749,17726,-18415,-17749,-17726,RUNNING
22389,1,0.00,0.00,0.00,0,0,0,18486,17822,17812,-18486,-17822,-17812,RUNNING
22411,1,0.00,0.00,0.00,0,0,0,18550,17894,17887,-18550,-17894,-17887,RUNNING
22433,1,0.00,0.00,0.00,0,0,0,18626,17961,17950,-18626,-17961,-17950,RUNNING
22455,1,0.00,0.00,0.00,0,0,0,18705,18037,18014,-18705,-18037,-18014,RUNNING
22477,1,0.00,0.00,0.00,0,0,0,18785,18114,18076,-18785,-18114,-18076,RUNNING
22499,1,0.00,0.00,0.00,0,0,0,18870,18190,18136,-18870,-18190,-18136,RUNNING
22523,1,0.00,0.00,0.00,0,0,0,18950,18277,18200,-18950,-18277,-18200,RUNNING
22545,1,0.00,0.00,0.00,0,0,0,19021,18343,18259,-19021,-18343,-18259,RUNNING
22567,1,0.00,0.00,0.00,0,0,0,19108,18401,18314,-19108,-18401,-18314,RUNNING
22589,1,0.00,0.00,0.00,0,0,0,19178,18465,18371,-19178,-18465,-18371,RUNNING
22611,1,0.00,0.00,0.00,0,0,0,19242,18531,18438,-19242,-18531,-18438,RUNNING
22633,1,0.00,0.00,0.00,0,0,0,19315,18583,18505,-19315,-18583,-18505,RUNNING
22657,1,0.00,0.00,0.00,0,0,0,19391,18651,18576,-19391,-18651,-18576,RUNNING
22679,1,0.00,0.00,0.00,0,0,0,19459,18719,18654,-19459,-18719,-18654,RUNNING
22701,1,0.00,0.00,0.00,0,0,0,19526,18783,18735,-19526,-18783,-18735,RUNNING
22723,1,0.00,0.00,0.00,0,0,0,19596,18851,18811,-19596,-18851,-18811,RUNNING
22745,1,0.00,0.00,0.00,0,0,0,19667,18922,18896,-19667,-18922,-18896,RUNNING
22767,1,0.00,0.00,0.00,0,0,0,19745,18990,18971,-19745,-18990,-18971,RUNNING
22789,1,0.00,0.00,0.00,0,0,0,19814,19070,19048,-19814,-19070,-19048,RUNNING
22813,1,0.00,0.00,0.00,0,0,0,19884,19154,19129,-19884,-19154,-19129,RUNNING
22835,1,0.00,0.00,0.00,0,0,0,19958,19218,19194,-19958,-19218,-19194,RUNNING
22857,1,0.00,0.00,0.00,0,0,0,20025,19284,19254,-20025,-19284,-19254,RUNNING
22879,1,0.00,0.00,0.00,0,0,0,20085,19359,19320,-20085,-19359,-19320,RUNNING
22901,1,0.00,0.00,0.00,0,0,0,20146,19421,19382,-20146,-19421,-19382,RUNNING
22923,1,0.00,0.00,0.00,0,0,0,20209,19480,19442,-20209,-19480,-19442,RUNNING
22945,1,0.00,0.00,0.00,0,0,0,20268,19538,19507,-20268,-19538,-19507,RUNNING
22969,1,0.00,0.00,0.00,0,0,0,20334,19605,19576,-20334,-19605,-19576,RUNNING
22991,1,0.00,0.00,0.00,0,0,0,20391,19666,19641,-20391,-19666,-19641,RUNNING
23013,1,0.00,0.00,0.00,0,0,0,20450,19728,19711,-20450,-19728,-19711,RUNNING
23035,1,0.00,0.00,0.00,0,0,0,20517,19792,19781,-20517,-19792,-19781,RUNNING
23057,1,0.00,0.00,0.00,0,0,0,20587,19858,19845,-20587,-19858,-19845,RUNNING
23110,1,0.00,0.00,0.00,0,0,0,20763,20036,20019,-20763,-20036,-20019,RUNNING
23132,1,0.00,0.00,0.00,0,0,0,20845,20107,20076,-20845,-20107,-20076,RUNNING
