TimestampMs,ElapsedMs,Tower,LimitState,TotalRotations,RawCounts,SpeedRPM,SpeedMMs,DrivePWM
--- NEW UPWARD HOMING EXPERIMENT SESSION ---
27458,6561,B,OPEN,3.2354,13252,29.59,29.44,180
27458,6561,C,OPEN,3.2639,13369,25.20,25.07,180
27508,6611,A,OPEN,-0.6826,-2796,3.52,3.50,180
27508,6611,B,CLICKED,3.2527,13323,30.73,30.57,0
27508,6611,C,OPEN,3.2878,13467,28.71,28.56,180
27558,6661,A,OPEN,-0.6829,-2797,-0.29,-0.29,180
27558,6661,B,CLICKED,3.2527,13323,30.73,30.57,0
27558,6661,C,OPEN,3.3042,13534,19.63,19.53,180
27608,6711,A,OPEN,-0.6824,-2795,0.59,0.58,180
27608,6711,B,CLICKED,3.2527,13323,30.73,30.57,0
27608,6711,C,OPEN,3.3252,13620,25.20,25.07,180
27658,6761,A,OPEN,-0.6851,-2806,-2.93,-2.91,180
27658,6761,B,CLICKED,3.2527,13323,30.73,30.57,0
27658,6761,C,OPEN,3.3435,13695,21.97,21.86,180
27708,6811,A,OPEN,-0.6868,-2813,-2.34,-2.33,180
27708,6811,B,CLICKED,3.2527,13323,30.73,30.57,0
27708,6811,C,CLICKED,3.3513,13727,21.97,21.86,0
27758,6861,A,OPEN,-0.6858,-2809,1.17,1.17,180
27758,6861,B,CLICKED,3.2527,13323,30.73,30.57,0
27758,6861,C,CLICKED,3.3513,13727,21.97,21.86,0
27808,6911,A,OPEN,-0.6873,-2815,-1.76,-1.75,180
27808,6911,B,CLICKED,3.2527,13323,30.73,30.57,0
27808,6911,C,CLICKED,3.3513,13727,21.97,21.86,0
27858,6961,A,OPEN,-0.6860,-2810,1.46,1.46,180
27858,6961,B,CLICKED,3.2527,13323,30.73,30.57,0
27858,6961,C,CLICKED,3.3513,13727,21.97,21.86,0
27908,7011,A,OPEN,-0.6877,-2817,-2.05,-2.04,180
27908,7011,B,CLICKED,3.2527,13323,30.73,30.57,0
27908,7011,C,CLICKED,3.3513,13727,21.97,21.86,0
27958,7061,A,OPEN,-0.6885,-2820,-0.88,-0.87,180
27958,7061,B,CLICKED,3.2527,13323,30.73,30.57,0
27958,7061,C,CLICKED,3.3513,13727,21.97,21.86,0
28008,7111,A,OPEN,-0.6880,-2818,0.59,0.58,180
28008,7111,B,CLICKED,3.2527,13323,30.73,30.57,0
28008,7111,C,CLICKED,3.3513,13727,21.97,21.86,0
28058,7161,A,OPEN,-0.6902,-2827,-2.64,-2.62,180
28058,7161,B,CLICKED,3.2527,13323,30.73,30.57,0
28058,7161,C,CLICKED,3.3513,13727,21.97,21.86,0
28108,7211,A,OPEN,-0.6902,-2827,0.00,0.00,180
28108,7211,B,CLICKED,3.2527,13323,30.73,30.57,0
28108,7211,C,CLICKED,3.3513,13727,21.97,21.86,0
28158,7261,A,OPEN,-0.6897,-2825,0.59,0.58,180
28158,7261,B,CLICKED,3.2527,13323,30.73,30.57,0
28158,7261,C,CLICKED,3.3513,13727,21.97,21.86,0
28208,7311,A,OPEN,-0.6895,-2824,0.29,0.29,180
28208,7311,B,CLICKED,3.2527,13323,30.73,30.57,0
28208,7311,C,CLICKED,3.3513,13727,21.97,21.86,0
28258,7361,A,OPEN,-0.6907,-2829,-1.46,-1.46,180
28258,7361,B,CLICKED,3.2527,13323,30.73,30.57,0
28258,7361,C,CLICKED,3.3513,13727,21.97,21.86,0
28308,7411,A,OPEN,-0.6919,-2834,-1.17,-1.17,180
28308,7411,B,CLICKED,3.2527,13323,30.73,30.57,0
28308,7411,C,CLICKED,3.3513,13727,21.97,21.86,0
28358,7461,A,OPEN,-0.6951,-2847,-4.10,-4.08,180
28358,7461,B,CLICKED,3.2527,13323,30.73,30.57,0
28358,7461,C,OPEN,3.3513,13727,21.97,21.86,0
